Benchmark,Native_default (sec), Native_interleave (sec), QEMU_default (sec), QEMU_interleave (sec), QEMU+SEV_default (sec), QEMU+SEV_intereleave (sec) 
bt.C.x,59.34,51.52,58.36,51.16,101.39,51.61
cg.C.x,9.53,9.45,13.38,10.06,21.26,10.9
ep.C.x,12.65,12.68,12.73,12.7,12.72,12.7
is.C.x,0.93,0.91,0.77,0.76,1.26,0.77
lu.C.x,33.98,31.73,32.39,30.52,57.43,31.73
mg.C.x,7.11,5.62,6.55,5.5,13.67,5.62
sp.C.x,73.37,67.2,90.37,72.94,224.03,71.58
ua.C.x,47.29,47.98,67.66,49.62,110.15,51.56
bt.D.x,1131.78,1091.31,1300.97,1125.17,1936.84,1193.08
cg.D.x,1048.25,1210.62,1509.45,895.8,2332.59,941.19
ep.D.x,204.23,204.09,203.76,204.8,203.19,205.1
is.D.x,22.16,16.89,15.55,15.45,25.42,15.92
lu.D.x,1282.46,1337.44,2024.64,1442.63,4239.03,1479.85
mg.D.x,120.31,146.42,164.3,108.6,230.98,108.97
sp.D.x,1770.13,1768.29,2838.41,1891.4,5534.43,1869.4
ua.D.x,934.41,889.83,1890.57,928.32,2058.76,939.02
bc-road,42.829,38.496,39.6,39.4,71.956,40.342
bfs-road,23.733,22.302,28.57,28.638,38.282,23.588
cc-road,3.071,2.222,1.898,1.812,3.026,1.859
pr-road,36.921,31.656,33.491,31.106,63.266,31.856
sssp-road,85.284,83.371,81.923,80.581,87.486,81.144
tc-road,0.473,0.523,0.506,0.48,0.571,0.497
LightGBM,53.437,51.953,69.686,64.36,81.479,68.531
Mobiliti,230.893,241.991,280.735,247.605,618.36,251.265
BLASTN,309.981,267.603,584.126,619.624,576.898,620.866
