Benchmark,Native_default (sec), Native_interleave (sec), QEMU_default (sec), QEMU_interleave (sec), QEMU+SEV_default (sec), QEMU+SEV_intereleave (sec) 
bt.C.x,22.28,20.44,20.86,19.83,25.84,20.78
cg.C.x,1.91,1.83,2.15,2.11,3.12,2.05
ep.C.x,2.23,2.24,2.11,1.99,2.04,2.05
is.C.x,0.25,0.24,0.2,0.2,0.29,0.31
lu.C.x,17.84,17.59,16.87,17.74,24.14,18.03
mg.C.x,3.59,2.49,2.62,2.52,5.54,2.53
sp.C.x,24.99,25.56,27.4,25.08,41.23,25.54
ua.C.x,8.17,7.98,8.81,8.6,10.49,8.64
bt.D.x,298.81,297.51,314.64,304.22,467.05,304.26
cg.D.x,186.65,153.69,163.27,155.85,313.83,161.92
ep.D.x,31.85,31.82,31.53,31.57,32.15,31.66
is.D.x,5.5,4.04,4.21,4.09,7.81,4.07
lu.D.x,195.42,180.7,213.36,183.13,303.67,182.97
mg.D.x,63.13,49.61,52.49,47.9,104.29,48.07
sp.D.x,712.57,798.71,828.73,801.3,1572.68,803.65
ua.D.x,274.88,289.87,303.74,291.56,590.48,291.15
bc-road,52.551,44.963,60.631,52.322,61.118,53.167
bfs-road,34.019,57.643,99.112,75.104,91.861,76.313
cc-road,1.296,1.474,1.395,1.496,1.737,1.343
pr-road,22.134,17.384,16.625,16.385,20.105,16.509
sssp-road,305.141,292.505,1243.458,1193.505,1338.112,1256.582
tc-road,0.352,0.384,0.315,0.335,0.358,0.352
LightGBM,61.58,63.1,60.19,57.28,61.9,56.34
Mobiliti,75.75,61.45,71.43,69.90,79.48,72.9
BLASTN,645.203,604.7,658.31,648.567,658.31,656.53
